date,line,process,period,planned_qty,actual_qty,good_qty,defect_qty,operating_minutes,downtime_minutes,cycle_time_sec,worker_count,changeover_minutes,machine_stop_minutes,material_delay_minutes,quality_issue_minutes,worker_absence_minutes,primary_downtime_reason,primary_defect_reason
2026-01-01,LINE-A,Cutting,Before,459,436,428,8,453.5,26.5,50.4,6,4.8,4.4,8.4,4.6,4.3,Material Delay,Stitch Defect
2026-01-01,LINE-A,Stitching,Before,459,436,426,10,446.2,33.8,61.3,9,4.8,6.5,7.5,8.4,6.6,Quality Issue,Finishing Defect
2026-01-01,LINE-A,Assembly,Before,459,436,426,10,452.2,27.8,60.2,9,7.7,2.8,7.6,5.9,3.8,Changeover,Assembly Error
2026-01-01,LINE-A,Finishing,Before,459,436,430,6,456.6,23.4,55.3,5,7.0,2.5,6.2,5.2,2.5,Changeover,Finishing Defect
2026-01-01,LINE-B,Cutting,Before,450,341,335,6,452.7,27.3,52.8,6,8.2,4.3,6.5,2.9,5.4,Changeover,Material Defect
2026-01-01,LINE-B,Stitching,Before,450,341,330,11,407.6,72.4,71.6,9,40.0,21.5,5.1,5.0,0.8,Changeover,Stitch Defect
2026-01-01,LINE-B,Assembly,Before,450,341,334,7,447.8,32.2,62.6,7,7.3,3.2,5.9,4.6,11.2,Worker Absence,Assembly Error
2026-01-01,LINE-B,Finishing,Before,450,341,336,5,460.4,19.6,55.2,6,5.3,4.4,3.4,3.6,2.9,Changeover,Finishing Defect
2026-01-01,LINE-C,Cutting,Before,452,443,435,8,454.2,25.8,49.9,6,10.4,6.7,3.9,3.3,1.5,Changeover,Finishing Defect
2026-01-01,LINE-C,Stitching,Before,452,443,432,11,443.7,36.3,57.9,8,17.2,8.6,2.7,4.4,3.4,Changeover,Material Defect
2026-01-01,LINE-C,Assembly,Before,452,443,434,9,448.3,31.7,60.6,8,3.0,8.1,11.2,6.3,3.1,Material Delay,Assembly Error
2026-01-01,LINE-C,Finishing,Before,452,443,436,7,460.5,19.5,55.7,5,4.7,3.8,6.0,1.9,3.1,Material Delay,Finishing Defect
2026-01-02,LINE-A,Cutting,Before,453,452,444,8,451.8,28.2,52.4,7,4.0,6.2,6.9,2.2,8.9,Worker Absence,Material Defect
2026-01-02,LINE-A,Stitching,Before,453,452,441,11,448.7,31.3,58.3,8,4.1,4.7,11.8,7.1,3.6,Material Delay,Stitch Defect
2026-01-02,LINE-A,Assembly,Before,453,452,441,11,450.3,29.7,59.7,8,2.4,4.1,10.6,10.1,2.5,Material Delay,Assembly Error
2026-01-02,LINE-A,Finishing,Before,453,452,446,6,458.4,21.6,53.4,6,11.0,2.3,2.2,4.4,1.7,Changeover,Assembly Error
2026-01-02,LINE-B,Cutting,Before,453,367,361,6,456.1,23.9,50.9,6,4.9,2.1,3.4,11.8,1.7,Quality Issue,Assembly Error
2026-01-02,LINE-B,Stitching,Before,453,367,354,13,413.7,66.3,67.5,8,29.4,17.6,7.5,6.5,5.3,Changeover,Stitch Defect
2026-01-02,LINE-B,Assembly,Before,453,367,359,8,446.0,34.0,61.8,9,4.0,4.7,15.2,8.3,1.8,Material Delay,Material Defect
2026-01-02,LINE-B,Finishing,Before,453,367,362,5,456.8,23.2,57.3,6,1.8,6.7,5.5,5.5,3.7,Machine Stop,Finishing Defect
2026-01-02,LINE-C,Cutting,Before,475,437,429,8,455.5,24.5,47.6,6,4.5,1.3,10.1,5.9,2.7,Material Delay,Finishing Defect
2026-01-02,LINE-C,Stitching,Before,475,437,425,12,439.5,40.5,60.3,8,11.0,11.0,9.7,6.0,2.8,Changeover,Assembly Error
